Lab Tour Name;Date;Time;Meeting Point
Visita Laboratorio CESMI 2;01/09/2024;11:00;Ingresso Principale
Visita Laboratorio Aula Informatica DIISM;01/09/2024;15:00;Aula Informatica
Visita Laboratorio di Acustica Applicata + Camera Silente;02/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio di Termotronica;02/09/2024;12:00;Aula Magna
Visita Laboratorio di Reverse Engineering;03/09/2024;14:00;Aula 101
Visita Laboratorio di Impianti Meccanici;04/09/2024;09:00;Ingresso Principale
Visita Laboratorio Simulatore Solare;04/09/2024;11:00;Aula Informatica
Visita Laboratorio di Energetica Ambientale;05/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio di Aerodinamica 1;05/09/2024;12:00;Aula Magna
Visita Laboratorio Adele;06/09/2024;14:00;Aula 101
Visita Laboratorio Westlab;07/09/2024;09:00;Ingresso Principale
Visita Laboratorio di Tecnica del Freddo;07/09/2024;11:00;Aula Informatica
Visita Laboratorio Camere Climatiche;08/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio di Proprietà Termofisiche dei Fluidi;08/09/2024;12:00;Aula Magna
Visita Laboratorio di Proprietà Termofisiche dei Fluidi 2;09/09/2024;14:00;Aula 101
Visita Laboratorio B+;10/09/2024;09:00;Ingresso Principale
Visita Laboratorio Camera Semiriverberante;10/09/2024;11:00;Aula Informatica
Visita Laboratorio Termofluidodinamica;11/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio di Termotecnica;11/09/2024;12:00;Aula Magna
Visita Laboratorio Energie Rinnovabili;12/09/2024;14:00;Aula 101
Visita Sala Cluster;13/09/2024;09:00;Ingresso Principale
Visita Laboratorio Aerodinamica 2;13/09/2024;11:00;Aula Informatica
"Visita Laboratorio Pesante ""A"" Misure + Costruzione di Macchine";14/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio Formula SAE;14/09/2024;12:00;Aula Magna
Visita Laboratorio di Mir Lab;15/09/2024;14:00;Aula 101
Visita Laboratorio di Metallurgia;16/09/2024;09:00;Ingresso Principale
Visita Laboratorio di Trattamenti Termici;16/09/2024;11:00;Aula Informatica
Visita Laboratorio Creep Ecap;17/09/2024;10:00;Ingresso Laboratori
Visita Laboratorio Prove Lavorabilità;17/09/2024;12:00;Aula Magna
Visita Laboratorio Tecnologia Meccanica;18/09/2024;14:00;Aula 101
